step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
29,transparent,GERMANY,TURKEY,0,9,4
29,transparent,ITALY,TURKEY,0,7,4
29,transparent,RUSSIA,TURKEY,0,5,4
29,transparent,TURKEY,TURKEY,1,4,4
32,transparent,ENGLAND,ENGLAND,1,3,3
32,transparent,FRANCE,ENGLAND,0,6,3
32,transparent,GERMANY,ENGLAND,0,10,3
32,transparent,ITALY,ENGLAND,1,7,3
32,transparent,RUSSIA,ENGLAND,1,4,3
32,transparent,TURKEY,ENGLAND,1,4,3
32,transparent,ENGLAND,FRANCE,0,3,6
32,transparent,FRANCE,FRANCE,1,6,6
32,transparent,GERMANY,FRANCE,0,10,6
32,transparent,ITALY,FRANCE,1,7,6
32,transparent,RUSSIA,FRANCE,1,4,6
32,transparent,TURKEY,FRANCE,1,4,6
32,transparent,ENGLAND,GERMANY,0,3,10
32,transparent,FRANCE,GERMANY,0,6,10
32,transparent,GERMANY,GERMANY,1,10,10
32,transparent,ITALY,GERMANY,1,7,10
32,transparent,RUSSIA,GERMANY,1,4,10
32,transparent,TURKEY,GERMANY,0,4,10
32,transparent,ENGLAND,ITALY,1,3,7
32,transparent,FRANCE,ITALY,1,6,7
32,transparent,GERMANY,ITALY,1,10,7
32,transparent,ITALY,ITALY,1,7,7
32,transparent,RUSSIA,ITALY,0,4,7
32,transparent,TURKEY,ITALY,0,4,7
32,transparent,ENGLAND,RUSSIA,1,3,4
32,transparent,FRANCE,RUSSIA,1,6,4
32,transparent,GERMANY,RUSSIA,0,10,4
32,transparent,ITALY,RUSSIA,0,7,4
32,transparent,RUSSIA,RUSSIA,1,4,4
32,transparent,TURKEY,RUSSIA,0,4,4
32,transparent,ENGLAND,TURKEY,1,3,4
32,transparent,FRANCE,TURKEY,1,6,4
32,transparent,GERMANY,TURKEY,0,10,4
32,transparent,ITALY,TURKEY,0,7,4
32,transparent,RUSSIA,TURKEY,0,4,4
32,transparent,TURKEY,TURKEY,1,4,4
34,transparent,ENGLAND,ENGLAND,1,3,3
34,transparent,FRANCE,ENGLAND,0,6,3
34,transparent,GERMANY,ENGLAND,0,10,3
34,transparent,ITALY,ENGLAND,1,7,3
34,transparent,RUSSIA,ENGLAND,1,4,3
34,transparent,TURKEY,ENGLAND,1,4,3
34,transparent,ENGLAND,FRANCE,0,3,6
34,transparent,FRANCE,FRANCE,1,6,6
34,transparent,GERMANY,FRANCE,0,10,6
34,transparent,ITALY,FRANCE,1,7,6
34,transparent,RUSSIA,FRANCE,1,4,6
