step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
19,transparent,AUSTRIA,RUSSIA,0,1,6
19,transparent,ENGLAND,RUSSIA,1,3,6
19,transparent,GERMANY,RUSSIA,0,8,6
19,transparent,ITALY,RUSSIA,0,9,6
19,transparent,RUSSIA,RUSSIA,1,6,6
19,transparent,TURKEY,RUSSIA,0,3,6
19,transparent,AUSTRIA,TURKEY,1,1,3
19,transparent,ENGLAND,TURKEY,1,3,3
19,transparent,GERMANY,TURKEY,1,8,3
19,transparent,ITALY,TURKEY,0,9,3
19,transparent,RUSSIA,TURKEY,0,6,3
19,transparent,TURKEY,TURKEY,1,3,3
21,transparent,AUSTRIA,AUSTRIA,1,1,1
21,transparent,ENGLAND,AUSTRIA,1,4,1
21,transparent,GERMANY,AUSTRIA,1,7,1
21,transparent,ITALY,AUSTRIA,0,9,1
21,transparent,RUSSIA,AUSTRIA,0,7,1
21,transparent,TURKEY,AUSTRIA,0,3,1
21,transparent,AUSTRIA,ENGLAND,1,1,4
21,transparent,ENGLAND,ENGLAND,1,4,4
21,transparent,GERMANY,ENGLAND,1,7,4
21,transparent,ITALY,ENGLAND,1,9,4
21,transparent,RUSSIA,ENGLAND,1,7,4
21,transparent,TURKEY,ENGLAND,1,3,4
21,transparent,AUSTRIA,FRANCE,1,1,3
21,transparent,ENGLAND,FRANCE,0,4,3
21,RL,FRANCE,FRANCE,1,3,3
21,transparent,GERMANY,FRANCE,0,7,3
21,transparent,ITALY,FRANCE,1,9,3
21,transparent,RUSSIA,FRANCE,1,7,3
21,transparent,TURKEY,FRANCE,1,3,3
21,transparent,AUSTRIA,GERMANY,1,1,7
21,transparent,ENGLAND,GERMANY,0,4,7
21,transparent,GERMANY,GERMANY,1,7,7
21,transparent,ITALY,GERMANY,1,9,7
21,transparent,RUSSIA,GERMANY,1,7,7
21,transparent,TURKEY,GERMANY,1,3,7
21,transparent,AUSTRIA,ITALY,0,1,9
21,transparent,ENGLAND,ITALY,1,4,9
21,transparent,GERMANY,ITALY,1,7,9
21,transparent,ITALY,ITALY,1,9,9
21,transparent,RUSSIA,ITALY,0,7,9
21,transparent,TURKEY,ITALY,0,3,9
21,transparent,AUSTRIA,RUSSIA,0,1,7
21,transparent,ENGLAND,RUSSIA,1,4,7
21,transparent,GERMANY,RUSSIA,0,7,7
21,transparent,ITALY,RUSSIA,0,9,7
21,transparent,RUSSIA,RUSSIA,1,7,7
21,transparent,TURKEY,RUSSIA,0,3,7
21,transparent,AUSTRIA,TURKEY,1,1,3
